"","Clave.de.municipio","Municipio","PIB Turismo 2018","PIB Turismo 2019","PIB Turismo 2020","PIB Turismo 2021","PIB Turismo 2022"
"1","13001","Acatlán",70651752.3288094,69259246.6569975,50801087.2437842,63585367.5145779,68945317.5835875
"2","13002","Acaxochitlán",371115995.833196,363801511.590925,266845413.743522,333998042.621373,362152520.633741
"3","13003","Actopan",459874116.095049,450810260.014006,330665614.409346,413878831.288687,448766887.409757
"4","13004","Agua Blanca de Iturbide",95302629.0620206,93424268.6939744,68525931.968534,85770734.5433112,93000807.6325173
"5","13005","Ajacuba",159168620.271317,156031497.706108,114447819.032774,143249033.2248,155324258.949379
"6","13006","Alfajayucan",37114413.7453849,36382909.8556314,26686564.8555524,33402336.9598166,36217998.2556612
"7","13007","Almoloya",NA,NA,NA,NA,NA
"8","13008","Apan",262620115.007474,288629373.892428,200193306.725192,261363056.437413,295213836.234841
"9","13009","El Arenal",110858496.405352,108673538.77975,79711146.0363116,99770748.8307195,108180957.861245
"10","13010","Atitalaquia",554922442.186042,543985237.903216,399008693.624881,499420697.511824,541519534.189613
"11","13011","Atlapexco",5302059.10648356,5197558.55080449,3812366.40793606,4683126.21214458,4980805.37757302
"12","13012","Atotonilco el Grande",659211750.236823,646219063.277585,473996362.893507,593279289.290104,643289967.719279
"13","13013","Atotonilco de Tula",187397823.856572,183704319.817337,134745606.233903,168654833.158235,182871649.384358
"14","13014","Calnali",59383061.9963937,58212655.7727844,42698503.7716261,53443739.1391633,57948797.2128329
"15","13015","Cardonal",90270804.3445062,88222838.9980642,64809962.3047384,81026627.7559392,87754928.7188683
"16","13016","Cuautepec de Hinojosa",149751063.408791,146799555.50866,107676265.433226,134773393.280213,146134162.067896
"17","13017","Chapantongo",7345899.55143607,7201116.06832684,5281959.35268273,6488380.08973599,6900808.77147563
"18","13018","Chapulhuacán",46023437.0296086,45116341.3810569,33092464.9811775,41420305.3901949,44911844.0477906
"19","13019","Chilcuautla",50593423.4681818,49596255.9979689,36378445.4716317,45533214.9452324,49371452.7053896
"20","13020","Eloxochitlán",NA,NA,NA,NA,NA
"21","13021","Emiliano Zapata",47718531.958352,46778026.9572404,34311297.6714246,42945861.8054786,46565997.7572788
"22","13022","Epazoyucan",106265287.088124,104170858.993853,76408467.4818215,95636939.0824753,103698687.221581
"23","13023","Francisco I. Madero",NA,NA,NA,NA,NA
"24","13024","Huasca de Ocampo",172319580.93895,168410182.625299,123716916.295555,154673204.046281,167516980.179463
"25","13025","Huautla",10604118.2129671,10395117.101609,7624732.81587213,9543524.84566189,10347999.5016175
"26","13026","Huazalingo",NA,NA,NA,NA,NA
"27","13027","Huehuetla",NA,NA,NA,NA,NA
"28","13028","Huejutla de Reyes",1385945046.21231,1360083640.75716,997073033.50069,1248493490.85026,1354287026.28471
"29","13029","Huichapan",683903046.156605,733931074.005791,514884806.675593,666431491.361022,746677534.265851
"30","13030","Ixmiquilpan",2224628594.54073,2130762110.35457,1581364501.78131,1962013276.61165,2108444395.82278
"31","13031","Jacala de Ledezma",78846872.0803287,77292845.2804623,56693665.6972194,70960834.9877865,76942502.5829697
"32","13032","Jaltocán",NA,NA,NA,NA,NA
"33","13033","Juárez Hidalgo",NA,NA,NA,NA,NA
"34","13034","Lolotla",37064139.5711008,36333626.5565985,26650415.9614382,33357091.0636714,36168938.3413913
"35","13035","Metepec",4722363.99735176,4629288.90106725,3395545.29815318,4171101.48625885,4436234.21023434
"36","13036","San Agustín Metzquititlán",NA,NA,NA,NA,NA
"37","13037","Metztitlán",118979486.694753,142208316.062448,94866493.177247,127588740.145652,148036236.58676
"38","13038","Mineral del Chico",42023064.6352098,41069691.2743637,30170477.0962671,37719695.0895247,40851868.6455647
"39","13039","Mineral del Monte",453043185.70635,465264824.716431,333458795.99728,424693286.004703,468509021.150973
"40","13040","La Misión",NA,NA,NA,NA,NA
"41","13041","Mixquiahuala de Juárez",51688906.441594,50670147.6278749,37166136.1413181,46519130.866273,50440476.742583
"42","13042","Molango de Escamilla",158955924.982568,155822994.519977,114294883.662257,143057611.10634,155116700.838675
"43","13043","Nicolás Flores",NA,NA,NA,NA,NA
"44","13044","Nopala de Villagrán",98618299.3805942,96674589.0449635,70910015.1876108,88754781.0646556,96236395.3650427
"45","13045","Omitlán de Juárez",51960179.2459033,50936073.8002461,37361190.7994897,46763271.7459068,50705197.5602884
"46","13046","San Felipe Orizatlán",69987180.205583,68607772.8706192,50323236.584756,62987263.9813685,68296796.7106754
"47","13047","Pacula",NA,NA,NA,NA,NA
"48","13048","Pachuca de Soto",9392598266.09914,9196784881.99286,6749713095.43324,8444604155.1498,9152393220.95457
"49","13049","Pisaflores",10604118.2129671,47817538.6674013,21257015.5045904,39554863.7342856,57072065.3824529
"50","13050","Progreso de Obregón",153714639.013918,150685011.303182,110526215.27136,138340543.467103,150002006.386749
"51","13051","Mineral de la Reforma",2260804680.21572,2405895814.04099,1694683867.35801,2186777735.05027,2442989422.32732
"52","13052","San Agustín Tlaxiaca",31812354.6389013,31185351.3048269,22874198.4476164,28630574.5369857,31043998.5048525
"53","13053","San Bartolo Tutotepec",54255375.6442368,53186033.1888752,39011517.4881976,48828909.2098504,52944958.6331552
"54","13054","San Salvador",NA,NA,NA,NA,NA
"55","13055","Santiago de Anaya",9543706.3916704,9355605.39144808,6862259.53428491,8589172.36109571,9313199.55145577
"56","13056","Santiago Tulantepec de Lugo Guerrero",165289809.267604,162032041.564594,118849168.55329,148757998.52468,161297604.343193
"57","13057","Singuilucan",28631119.1750112,28066816.1743442,20586778.6028547,25767517.0832871,27939598.6543673
"58","13058","Tasquillo",160638277.365703,160070967.974318,116451240.313262,146655820.204943,160003146.567555
"59","13059","Tecozautla",557406624.885358,544760792.604017,400190322.990404,500325431.142888,541871527.449357
"60","13060","Tenango de Doria",44521559.7608705,43644065.2551943,32012562.5634209,40068641.5609658,43446241.2587356
"61","13061","Tepeapulco",519295367.537946,675382226.166795,433979500.79302,600740668.669713,714415466.714441
"62","13062","Tepehuacán de Guerrero",24389471.8898244,23908769.3337006,17536885.4765059,21950107.1450224,23800398.8537203
"63","13063","Tepeji del Río de Ocampo",483187776.320062,484573903.851209,351403072.398698,443609710.619215,485138580.712741
"64","13064","Tepetitlán",NA,NA,NA,NA,NA
"65","13065","Tetepango",10570602.0967777,10362261.5689203,7600633.55312932,9513360.9148984,10315292.8921042
"66","13066","Villa de Tezontepec",77525580.680922,75997595.7796235,55743610.8515401,69771695.3492661,75653124.01627
"67","13067","Tezontepec de Aldama",113635128.381956,111395444.926512,81707641.7867756,102269670.072805,110890526.514952
"68","13068","Tianguistengo",15342455.2959097,15040064.2679379,11031763.3226648,13807947.0984628,14971892.6711263
"69","13069","Tizayuca",302298027.445942,296339906.041721,217362881.453162,272063049.259208,294996696.050154
"70","13070","Tlahuelilpan",68458288.7296996,67109014.9721996,49223910.004841,61611287.8282008,66804832.1821095
"71","13071","Tlahuiltepa",NA,NA,NA,NA,NA
"72","13072","Tlanalapa",31812354.6389013,31185351.3048269,22874198.4476164,28630574.5369857,31043998.5048525
"73","13073","Tlanchinol",40669114.3496338,39867549.3419342,29242519.2313414,36601506.6459915,39686843.0329843
"74","13074","Tlaxcoapan",151457697.849787,148472553.159902,108903395.437402,136309335.058964,147799576.578578
"75","13075","Tolcayuca",65628226.5137332,64334731.6655655,47188996.0388074,59064280.2854315,64043123.7767318
"76","13076","Tula de Allende",4372616003.81669,4260150926.30131,3134489711.37867,3914201338.31411,4234189019.53256
"77","13077","Tulancingo de Bravo",3435976304.02135,3341971859.84368,2461012925.07266,3071241644.07954,3320171752.65365
"78","13078","Xochiatipan",NA,NA,NA,NA,NA
"79","13079","Xochicoatlán",10604118.2129671,10395117.101609,7624732.81587213,9543524.84566189,10347999.5016175
"80","13080","Yahualica",NA,NA,NA,NA,NA
"81","13081","Zacualtipán de Ángeles",283628411.217215,278038257.282053,203938772.756897,255260714.283353,276778002.562372
"82","13082","Zapotlán de Juárez",15906177.3194507,15592675.6524135,11437099.2238082,14315287.2684928,15521999.2524263
"83","13083","Zempoala",104727272.828114,102663158.116169,75302581.30024,94252752.5797788,102197820.249294
"84","13084","Zimapán",539886603.731956,529245747.234395,388197398.562663,485888700.32167,526846852.717708